antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset(['brawls', 'tapseils'])",frozenset(['sletias']),0.009058557101261728,0.05596894208993853,0.004852798447104497,0.5357142857142857,9.571635012386457,0.004345800589285577,2.0332976631909014
frozenset(['sletias']),"frozenset(['brawls', 'tapseils'])",0.05596894208993853,0.009058557101261728,0.004852798447104497,0.08670520231213873,9.571635012386457,0.004345800589285577,1.0850181621612767
frozenset(['brawls']),"frozenset(['sletias', 'tapseils'])",0.03008735037204788,0.012617275962471692,0.004852798447104497,0.16129032258064516,12.783291976840363,0.004473178044480794,1.1772640171216684
frozenset(['tapseils']),"frozenset(['sletias', 'brawls'])",0.0459398252992559,0.008735037204788094,0.004852798447104497,0.1056338028169014,12.093114241001565,0.004451512363934031,1.108343501708032
frozenset(['beads']),frozenset(['bouges']),0.01973471368489162,0.013587835651892591,0.004529278550630864,0.2295081967213115,16.890710382513664,0.004261126504443401,1.2802370643666927
frozenset(['bouges']),frozenset(['beads']),0.013587835651892591,0.01973471368489162,0.004529278550630864,0.33333333333333337,16.890710382513664,0.004261126504443401,1.4703979294726626
frozenset(['jugs']),frozenset(['iron']),0.011323196376577159,0.13749595600129408,0.004529278550630864,0.4,2.9091764705882355,0.0029723848398429988,1.4375067399978434
frozenset(['iron']),frozenset(['jugs']),0.13749595600129408,0.011323196376577159,0.004529278550630864,0.03294117647058824,2.9091764705882355,0.0029723848398429988,1.022354358977992
frozenset(['niconees']),frozenset(['iron']),0.05402782271109673,0.13749595600129408,0.011970236169524426,0.2215568862275449,1.6113702007749207,0.004541629035193753,1.1079859642137222
frozenset(['iron']),frozenset(['niconees']),0.13749595600129408,0.05402782271109673,0.011970236169524426,0.08705882352941177,1.6113702007749209,0.004541629035193753,1.036180864298412
frozenset(['allejars']),frozenset(['tapseils']),0.01973471368489162,0.0459398252992559,0.0071174377224199285,0.36065573770491804,7.850611867928886,0.006210828423405173,1.492247965557574
frozenset(['tapseils']),frozenset(['allejars']),0.0459398252992559,0.01973471368489162,0.0071174377224199285,0.15492957746478872,7.850611867928884,0.006210828423405173,1.1599805888062116
frozenset(['tapseils']),frozenset(['knives']),0.0459398252992559,0.041734066645098676,0.00517631834357813,0.11267605633802819,2.6998580631073263,0.0032590626128747944,1.079950496320603
frozenset(['knives']),frozenset(['tapseils']),0.041734066645098676,0.0459398252992559,0.00517631834357813,0.12403100775193798,2.6998580631073263,0.0032590626128747944,1.089148341030053
frozenset(['plains']),frozenset(['rum']),0.03979294726625687,0.06567453898414753,0.0042057586541572305,0.10569105691056911,1.6093155512835915,0.0015923751876253164,1.0447457427722715
frozenset(['rum']),frozenset(['plains']),0.06567453898414753,0.03979294726625687,0.0042057586541572305,0.06403940886699507,1.6093155512835915,0.0015923751876253164,1.025905430026052
frozenset(['brawls']),frozenset(['tapseils']),0.03008735037204788,0.0459398252992559,0.009058557101261728,0.3010752688172043,6.553687717704075,0.007676349481452347,1.3650399422641415
frozenset(['tapseils']),frozenset(['brawls']),0.0459398252992559,0.03008735037204788,0.009058557101261728,0.1971830985915493,6.553687717704074,0.007676349481452347,1.2081368091856945
